x: -0.520, y: -0.693, h: -0.027, tx: -0.497, ty: -0.750, time: 7.814604
x: -0.520, y: -0.697, h: -0.027, tx: -0.493, ty: -0.750, time: 7.835411
x: -0.520, y: -0.702, h: -0.032, tx: -0.489, ty: -0.750, time: 7.856384
x: -0.519, y: -0.706, h: -0.038, tx: -0.485, ty: -0.750, time: 7.877371
x: -0.519, y: -0.710, h: -0.045, tx: -0.481, ty: -0.750, time: 7.897873
x: -0.519, y: -0.713, h: -0.050, tx: -0.477, ty: -0.750, time: 7.918841
x: -0.519, y: -0.717, h: -0.055, tx: -0.473, ty: -0.750, time: 7.939323
x: -0.518, y: -0.722, h: -0.061, tx: -0.469, ty: -0.750, time: 7.960128
x: -0.518, y: -0.727, h: -0.066, tx: -0.465, ty: -0.750, time: 7.980783
x: -0.516, y: -0.729, h: -0.069, tx: -0.461, ty: -0.750, time: 8.002285
x: -0.515, y: -0.732, h: -0.071, tx: -0.457, ty: -0.750, time: 8.022771
x: -0.515, y: -0.735, h: -0.072, tx: -0.453, ty: -0.750, time: 8.043086
x: -0.513, y: -0.736, h: -0.073, tx: -0.449, ty: -0.750, time: 8.063892
x: -0.512, y: -0.738, h: -0.074, tx: -0.445, ty: -0.750, time: 8.084356
x: -0.509, y: -0.739, h: -0.071, tx: -0.441, ty: -0.750, time: 8.105169
x: -0.507, y: -0.740, h: -0.066, tx: -0.437, ty: -0.750, time: 8.126211
x: -0.504, y: -0.741, h: -0.058, tx: -0.433, ty: -0.750, time: 8.147053
x: -0.501, y: -0.740, h: -0.047, tx: -0.429, ty: -0.750, time: 8.167214
x: -0.498, y: -0.740, h: -0.034, tx: -0.425, ty: -0.750, time: 8.188209
x: -0.494, y: -0.740, h: -0.023, tx: -0.421, ty: -0.750, time: 8.209005
x: -0.490, y: -0.739, h: -0.011, tx: -0.417, ty: -0.750, time: 8.229295
x: -0.486, y: -0.739, h: 0.000, tx: -0.413, ty: -0.750, time: 8.250230
x: -0.482, y: -0.738, h: 0.007, tx: -0.409, ty: -0.750, time: 8.271452
x: -0.478, y: -0.738, h: 0.006, tx: -0.405, ty: -0.750, time: 8.291890
x: -0.474, y: -0.739, h: 0.001, tx: -0.401, ty: -0.750, time: 8.312657
x: -0.469, y: -0.740, h: -0.003, tx: -0.397, ty: -0.750, time: 8.333654
